Filename,Clade2,Clade,Genus,Species,Taxon,Tip_label,Habitat,Diet,Diet2,extinct?,Reconstructed,premax_vent,max_vent,max_d,premax_d,nasal,frontal,parietal,supraocc,occ_condyle,basiocc,pterygoid,palatine,jawjoint,jugal,squamosal,lacrimal,ectopt,ptery_flange,sphenoid,postorb
Melanosuchus_niger_AMNH_58132_cranium,Caimaninae,Alligatoroidea ,Melanosuchus,niger,Melanosuchus_niger,Melanosuchus_niger,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Osteolaemus_tetraspis_MCZ_17704_cranium,Osteolaeminae,Crocodylidae,Osteolaemus,tetraspis,Osteolaemus_tetraspis,Osteolaemus_tetraspis,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paleosuchus_palpebrosus_ZSM_41_1938_skull,Caimaninae,Alligatoroidea ,Paleosuchus,palpebrosus,Paleosuchus_palpebrosus,Paleosuchus_palpebrosus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paleosuchus_trigonatus_AMNH_6691_cranium,Caimaninae,Alligatoroidea ,Paleosuchus,trigonatus,Paleosuchus_trigonatus,Paleosuchus_trigonatus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Palagosaurus_cranium,Thalattosuchia,Thalattosuchia,Pelagosaurus,typus,Pelagosaurus_typus,Pelagosaurus_typus,aquatic/marine,Piscivore,Piscivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pholidosaurus_purbeckensis_cranium,Pholidosauridae,Pholidosauridae,Pholidosaurus,purbeckensis,Pholidosaurus_purbeckensis,Pholidosaurus_sp,semi-aquatic/freshwater,Carnivore,Carnivore,yes,0.8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
Pristichampsus_vorax_FMNH-PR-399_cranium,Crocodyloidea,Crocodylidae,Pristichampsus,vorax,Pristichampsus_vorax,Pristichampsus_vorax,terrestrial,Carnivore,Carnivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Procaimanoidea_utahensis_USNM_V-15996_cranium,Alligatorinae,Alligatoroidea ,Procaimanoidea,utahensis,Procaimanoidea_utahensis,Procaimanoidea_utahensis,semi-aquatic/freshwater,Carnivore,Carnivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Prodiplocynodon_AMNH_108_cranium,Crocodylia,Crocodylidae,Prodiplocynodon,sp.,Prodiplocynodon_sp.,Prodiplocynodon_langi,semi-aquatic/freshwater,Carnivore,Carnivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Purussaurus_neivensis_UCMP_39704_MERGE,Caimaninae,Alligatoroidea ,Purussaurus,neivensis,Purussaurus_neivensis,Purussaurus_neivensis,semi-aquatic/freshwater,Carnivore,Carnivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sarcosuchus_imperator_TMP_2009_003_0005(cast)-lowres,Pholidosauridae,Pholidosauridae,Sarcosuchus,imperator,Sarcosuchus_imperator,Sarcosuchus_imperator,semi-aquatic/freshwater,Carnivore,Carnivore,yes,0.8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Simosuchus_cast_cranium,Ziphosuchidae,Notosuchia,Simosuchus,sp.,Simosuchus_sp.,Simosuchus_clarki,terrestrial,Herbivore,Omnivore/Herbivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stangerochampsa_mccabei_TMP_1986_061_0001,Globidonta ,Alligatoroidea ,Stangerochampsa,mccabei,Stangerochampsa_mccabei,Stangerochampsa_mccabei,semi-aquatic/freshwater,Durophagus?,Carnivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tomistoma_schlegelii_MCZ_12459_cranium,Tomistoma,Tomistoma,Tomistoma,schlegelii,Tomistoma_schlegelii,Tomistoma_schlegelii,semi-aquatic/freshwater,Piscivore,Piscivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Voay_robustus_AMNH_3101_cranium,Osteolaeminae,Crocodylidae,Voay,robustus,Voay_robustus,Voay_robustus,semi-aquatic/freshwater,Carnivore,Carnivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
